user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
talliia,6556787840360513541,6908787182920649990,good morning from my magical airbnb 🤭💖 #HelloWinter #interiordesign #wesanderson #kansascity,1608577381,11,https://www.tiktok.com/@talliia/video/6908787182920649990?lang=en,56000,1762,317,304900
rachelrigler,2131804,6905107741073739014,#duet with @rikkisandhuu yeah it works,1607720697,16,https://www.tiktok.com/@rachelrigler/video/6905107741073739014?lang=en,239500,5214,397,2500000
audboos,6613447925182382085,6908539580023082245,super mini eye makeup tutorial 🌸 #fypシ #Wishlist #makeup,1608519735,9,https://www.tiktok.com/@audboos/video/6908539580023082245?lang=en,381400,4719,1064,3300000
whatj4de,6731923499068474374,6908842341998529797,Also these are my real nails hehe my friend did my nails 😎 #fyp #YearOnTikTok #nails,1608590225,12,https://www.tiktok.com/@whatj4de/video/6908842341998529797?lang=en,60300,1292,312,266400
alexcazam,6620547566060011526,6907067263535320326,Hopefully I reach an appreciative audience with these hashtags. #sidehustle #sidehustles #business #money #coach #sidehustleideas,1608176938,13,https://www.tiktok.com/@alexcazam/video/6907067263535320326?lang=en,701800,46400,1522,5600000
n4t4liep,6635437666929311750,6908836922026773766,Idea credit @rayce2,1608588964,13,https://www.tiktok.com/@n4t4liep/video/6908836922026773766?lang=en,646800,10900,6208,8700000
emmajeanclarke,6750336923908457477,6901353477155425538,70’s inspired 🕔🎲✊🏼🚶🏼‍♀️lol #fashion #70s #fyp,1606846574,9,https://www.tiktok.com/@emmajeanclarke/video/6901353477155425538?lang=en,183000,2182,1325,978800
easyinterieur,6686534701568525318,6908793579683040513,😱🔥wait till the end & save💰💰💰#werbung #diy #lastminutegeschenke #easyinterieur #winterdiy #hack #lowbudget #homedecor,1608578859,9,https://www.tiktok.com/@easyinterieur/video/6908793579683040513?lang=en,350300,4741,523,6900000
jadennedwardsss,6726991957640578054,6908612630643019013,i like her better #greenscreen #fyp #foryou #Wishlist #lgbtq,1608536782,38,https://www.tiktok.com/@jadennedwardsss/video/6908612630643019013?lang=en,300200,3224,2618,1100000
claireschwa,6824144790113272838,6908915295000268038,"for the ladies, gaydies, and theydies. #bi #fyp #rodrickwastheblueprint",1608607213,36,https://www.tiktok.com/@claireschwa/video/6908915295000268038?lang=en,203,3,10,2007
loveleo,6610722120417067013,6908803810588675334,my best motivational speech,1608581252,14,https://www.tiktok.com/@loveleo/video/6908803810588675334?lang=en,358200,6037,2388,1800000
cammynew,6764491817281356805,6908507877707762949,Reply to @ashiana666 @dazzcam this ones for you #greenscreenvideo #fyp #foryou #Wishlist #fashion #aritzia #melinapant #jordan #fashiontok,1608512353,40,https://www.tiktok.com/@cammynew/video/6908507877707762949?lang=en,40100,1595,135,324300
darcieeculp0112,6642855452287238150,6908591787129015558,Fr real #fyp #DontDropTheOhYeah #OREOFORSANTA #OutPizzaTheHut,1608531917,13,https://www.tiktok.com/@darcieeculp0112/video/6908591787129015558?lang=en,345200,13800,1107,2000000
vivianh.huynh,6624145007585820678,6897672391325928709,#greenscreen,1605989536,8,https://www.tiktok.com/@vivianh.huynh/video/6897672391325928709?lang=en,365,0,6,2637
sophsophsews,6850926843227964422,6851719442200644870,"making new bags right now🥰😼 DEPOP IS SOPHIAAELLISS, POSTING MORE BAGS TOMORROW NIGHT OR NEXT DAY! #foryoupage #sewing #thriftflip #PokemonGO",1595290251,10,https://www.tiktok.com/@sophsophsews/video/6851719442200644870?lang=en,163900,1119,621,673900
ellasabarbie,6720814457016960006,6908492406019378438,and before y’all be like iM nOt RiCh these ones aren’t even expensive!,1608508752,7,https://www.tiktok.com/@ellasabarbie/video/6908492406019378438?lang=en,58200,2824,821,452200
hawkhatesyou,6616701028941971461,6908419502476659973,that’s the one,1608491779,22,https://www.tiktok.com/@hawkhatesyou/video/6908419502476659973?lang=en,797800,27000,13200,3200000
jbeazyofficial,6649085139962068997,6905134737476570374,Then list them as ‘vintage’ and become a millionaire #OOTD #Catchphrases #TheWildsChallenge #foryou #learnontiktok #fyp,1607726981,14,https://www.tiktok.com/@jbeazyofficial/video/6905134737476570374?lang=en,76200,2577,224,645100
jamieelalouf,234922880046845952,6908042405430250757,#duet with @yodamnmomma this vibe though 🔥 @sunny_boisvert,1608403982,19,https://www.tiktok.com/@jamieelalouf/video/6908042405430250757?lang=en,90200,1257,176,847700
jelenasmiith,6780256641783858181,6907384759677160709,This was so hard,1608250856,17,https://www.tiktok.com/@jelenasmiith/video/6907384759677160709?lang=en,43200,278,449,168900
gabidaiagi,6763781286253577222,6908352743082134789,Apparently this is against community guidelines?? 😭 @kiss.the.rainbow ￼#greenscreenvideo #fyp #haul #fashion #outfits,1608476254,27,https://www.tiktok.com/@gabidaiagi/video/6908352743082134789?lang=en,191100,1772,605,1200000
dylanabaez,7078061,6908402251434446085,This shi was hard lol #fyp,1608487764,15,https://www.tiktok.com/@dylanabaez/video/6908402251434446085?lang=en,253700,3373,2771,863600
william_boi,11978140,6908280610012302597,#stitch with @missbeifong  behind the tweet with benito #fyp #badbunny #benito #conejomalo🐰,1608459594,15,https://www.tiktok.com/@william_boi/video/6908280610012302597?lang=en,67200,1528,408,257500
cassie6423,6532079246053998594,6904643887869086982,Video representation of TRUST THE PROCESS #thriftflip #diy #sewing #clothes,1607612712,15,https://www.tiktok.com/@cassie6423/video/6904643887869086982?lang=en,229600,2931,1094,872600
justine_snacks,6792968742324061190,6905121580909694213,Snackmas Day 11! #snickerdoodle #snickerdoodles #christmascookies #muffins #bakingszn #homecooked #fyp,1607723920,43,https://www.tiktok.com/@justine_snacks/video/6905121580909694213?lang=en,20300,1063,181,142000
evie.mrx,6804143537421206534,6904278595548548354,"Reply to @grace.roberts.19  What else should I embroider?                            Before people get aggy about legalities, this is **not for sale**",1607527634,12,https://www.tiktok.com/@evie.mrx/video/6904278595548548354?lang=en,1200000,4388,6346,8400000
mayholbroook,6726509228204491782,6908106434597145857,The most extra 21st ever #21 #fyp #party,1608418873,15,https://www.tiktok.com/@mayholbroook/video/6908106434597145857?lang=en,68400,3061,804,444900
gingerswag123,6664567626818142213,6900989381721591046,THIS IS A JOKE I just thought this was funny,1606761825,14,https://www.tiktok.com/@gingerswag123/video/6900989381721591046?lang=en,924600,55800,19600,2900000
peripheralvision,6814899650614215686,6907666172809055493,15 year old me lived for it #nevershoutnever #throwbacks #poppunk,1608316381,52,https://www.tiktok.com/@peripheralvision/video/6907666172809055493?lang=en,133400,8251,6842,656600
